start	end	text
145285	145845	All right.
145865	149546	Welcome back, everyone.
154687	156308	So hopefully you had a good weekend.
156328	159008	It's a decent amount of snow.
159189	161509	So that was kind of nice, right, if you like the snow.
162949	164550	But today,
165895	169898	We're gonna pick up on bioenergetics and exercise metabolism.
170478	175102	We're gonna make a pretty good dent in the rest of these slides.
175122	179065	We'll finish them up on Thursday and start chapter five on Thursday as well.
179945	185069	So, hopefully lab two was good for the Monday section.
185149	191494	I know today and tomorrow we have the other sections, but that'll be a fun one to start using some of the Douglas bags.
193636	195217	Which should,
199334	204778	These topics are going to give you a little bit of a good background or review for what you did in lab.
206263	213532	But so far, to this point, we talked about kind of that immediate energy source, so the ATP, phosphocreatine.
214252	218477	And then we talked about how it can generate a lot of energy very quickly.
218557	221981	We just don't have a lot of stores available to kind of pull on that.
222442	226006	Then we moved to the rapid non-oxidative glycolysis.
226867	228488	So that piece is the same deal.
228769	236255	So we can generate ATP a little bit more faster than oxidative, but not as fast as the ATP PC system.
238697	240598	But again, not very efficient.
240678	243300	Doesn't generate a whole lot of ATP.
244842	246923	That moves us into this third piece here.
247244	250126	So this is the oxidative phosphorylation.
250806	254590	And when we talk about oxidative phosphorylation, that means oxygen
256053	259797	is involved in the phosphorylation of ADP.
262040	266024	So it has to be there in order for this reaction to occur.
266044	268968	OK.
272437	276923	So here we're kind of looking in this section of the figure.
277864	287337	But keep in mind, we do or this process does rely a lot on the generation of pyruvate, especially if we're trying to break down carbohydrate.
288018	295121	So this is where a little bit of confusion comes into play where it's, okay, well, is glycolysis oxidative or non-oxidative?
295541	303005	Well, it's kind of both, and so we kind of term it either the non-oxidative glycolysis or we just kind of deem everything else oxidative.
305266	316691	So when we're in the oxidative phosphorylation and then the Krebs cycle, we are looking at a much larger yield for ATP in this process.
318468	326898	So it is aerobic, or in this instance, we actually do require oxygen in order to form that ATP.
327959	330923	Depending on the substrate, we get 32 ATP or 33 on the glycogen, and then
336780	338982	100 plus for ATP for free fatty acid.
339482	341943	I feel like we did touch on some of these slides.
342164	346246	So I'm going to fly, not fly, but I'm going to go through these a little bit faster.
346986	350869	So steady state supply, we can get that for hours.
351689	360575	It is the most complex because, again, we need to rely, if we're talking about carbohydrates, we need to rely on the pyruvate, then the Krebs cycle, and then they need to go to the ETC.
361215	365578	So there are many more steps in oxidative phosphorylation.
